threshold,f1,precision,recall
0.1,0.10277574385941557,0.05417543859649123,0.9987063389391979
0.11,0.10323615940090933,0.054431361489106676,0.9987063389391979
0.12000000000000001,0.10370768404083826,0.0546935883811548,0.9987063389391979
0.13,0.10413434949753828,0.05493098050377117,0.9987063389391979
0.14,0.10468506339412842,0.055237550085861474,0.9987063389391979
0.15000000000000002,0.10538529793188178,0.05562761204784551,0.9987063389391979
0.16,0.10624096882956031,0.056104651162790696,0.9987063389391979
0.17,0.10713294476824868,0.056602390204560454,0.9987063389391979
0.18,0.10792674402348665,0.0570457400428582,0.9987063389391979
0.19,0.10858835143139191,0.05742411812961444,0.9961190168175937
0.2,0.10973956475205138,0.05807279867089563,0.9948253557567918
0.21000000000000002,0.11095880528100426,0.058756112469437655,0.9948253557567918
0.22,0.11166994678912458,0.059168855244863275,0.9909443725743855
0.23,0.11290679654638035,0.05986852402566912,0.9896507115135834
0.24000000000000002,0.11434123010238398,0.0606757614213198,0.9896507115135834
0.25,0.11551854655563967,0.0613491999678379,0.9870633893919794
0.26,0.11720430107526882,0.06230097166653058,0.9870633893919794
0.27,0.11865462472749923,0.06312650153259879,0.9857697283311773
0.28,0.12051241499288312,0.06417923018613661,0.9857697283311773
0.29000000000000004,0.12213371952691286,0.06511667810569664,0.981888745148771
0.30000000000000004,0.12387645040039222,0.06611426079372001,0.9805950840879689
0.31,0.12575896198952008,0.0672,0.9780077619663649
0.32,0.12825515310883026,0.06862745098039216,0.9780077619663649
0.33,0.13084598698481562,0.0701264880952381,0.9754204398447607
0.33999999999999997,0.13338075760270318,0.07161271841879117,0.9702457956015524
0.35,0.1362347993051111,0.07329791420700511,0.963777490297542
0.36,0.1392894166431062,0.07511689367757675,0.9560155239327296
0.37,0.14313496693893427,0.0773840815897382,0.9521345407503234
0.38,0.1468298109010011,0.07964019306713471,0.9391979301423027
0.39,0.1498166579360922,0.0815093479252166,0.92496765847348
0.4,0.15376238701949255,0.08394768133174792,0.9133247089262613
0.41000000000000003,0.1573339378825663,0.08622189091812647,0.8978007761966365
0.42000000000000004,0.16047337278106508,0.088315748339195,0.8771021992238034
0.43000000000000005,0.16635630043451272,0.09200769019500138,0.8667529107373868
0.44000000000000006,0.17110067814293167,0.09514140681653371,0.8486416558861578
0.45000000000000007,0.17521250342747463,0.09799110565864132,0.8266494178525227
0.45999999999999996,0.17984361424847958,0.10125550301646828,0.8033635187580854
0.47,0.1842627960275019,0.10446985446985448,0.7800776196636481
0.48,0.18856958346787214,0.10772920125438111,0.7554980595084088
0.49,0.19055764625384877,0.10979696432091465,0.720569210866753
0.5,0.197065748958522,0.11457455770850884,0.703751617076326
0.51,0.2008432349559218,0.11788526434195726,0.6778783958602846
0.52,0.20506585612968592,0.12157616530514176,0.6545924967658473
0.53,0.20595744680851064,0.12324929971988796,0.6261319534282018
0.54,0.21105072463768115,0.12791655229206697,0.6028460543337646
0.55,0.21151079136690648,0.12982042979099206,0.5705045278137129
0.56,0.21820035686974254,0.13587301587301587,0.553686934023286
0.5700000000000001,0.22096164235548352,0.1396381017412086,0.5291073738680466
0.58,0.22190692395005676,0.1421301344965467,0.5058214747736093
0.59,0.22508231068542353,0.14641744548286603,0.48641655886157825
0.6,0.22790404040404041,0.15073068893528183,0.4670116429495472
0.61,0.23327841845140032,0.15649867374005305,0.4579560155239327
0.62,0.23698007689619013,0.16235632183908047,0.4385510996119017
0.63,0.24049707602339182,0.16760061130922058,0.425614489003881
0.64,0.24422187981510016,0.1738891936368623,0.41009055627425617
0.65,0.24787363304981774,0.1804245283018868,0.3958602846054334
0.66,0.2523524379811805,0.18849840255591055,0.3816300129366106
0.67,0.2526124488868696,0.19467787114845939,0.35963777490297544
0.6799999999999999,0.24796553374820487,0.19680851063829788,0.3350582147477361
0.69,0.24114930733709594,0.19982993197278912,0.3040103492884864
0.7,0.23778501628664495,0.2048643592142189,0.2833117723156533
0.71,0.22979214780600463,0.20750782064650677,0.2574385510996119
0.72,0.2199017199017199,0.20935672514619882,0.2315653298835705
0.73,0.21739130434782608,0.2214765100671141,0.21345407503234154
0.74,0.20971147079521463,0.22993827160493827,0.1927554980595084
0.75,0.19610778443113772,0.23268206039076378,0.16946959896507116
0.76,0.18283881315156375,0.24050632911392406,0.14747736093143596
0.77,0.15851602023608768,0.22760290556900725,0.12160413971539456
0.78,0.14590747330960854,0.2336182336182336,0.10608020698576973
0.79,0.1285444234404537,0.23859649122807017,0.08796895213454076
0.8,0.10050251256281408,0.22522522522522523,0.0646830530401035
0.8099999999999999,0.08723404255319149,0.24550898203592814,0.05304010349288486
0.82,0.07236842105263158,0.23741007194244604,0.042690815006468305
0.83,0.05017103762827822,0.21153846153846154,0.028460543337645538
0.84,0.0397196261682243,0.20481927710843373,0.02199223803363519
0.85,0.023894862604540025,0.15625,0.0129366106080207
0.86,0.01696969696969697,0.1346153846153846,0.009055627425614488
0.87,0.014705882352941176,0.13953488372093023,0.007761966364812419
0.88,0.012315270935960592,0.1282051282051282,0.00646830530401035
0.89,0.009925558312655087,0.12121212121212122,0.00517464424320828
0.9,0.009987515605493134,0.14285714285714285,0.00517464424320828
